key,en_US,fr_FR,es_MX,de_DE,it_IT,pt_BR,pt_PT,ru_RU,el_GR,tr_TR,da_DK,no_NB,sv_SE,nl_NL,pl_PL,fi_FI,ja_JP,zh_CN,zh_TW,ko_KR,cs_CZ,hu_HU,ro_RO,th_TH,bg_BG,he_IL,ar,bs_BS
NONE_CATEGORY_NAME,None,,,,,,,,,,,,,,,,,,,,,,,,,,,
NONE_CATEGORY_DESC,This does not have a category.,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERIC_CATEGORY_NAME,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERIC_CATEGORY_DESC,Generic things.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUILDING_CATEGORY_NAME,Building,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUILDING_CATEGORY_DESC,A selection of blocks best to build with.,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOD_CATEGORY_NAME,Food,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOD_CATEGORY_DESC,All things edible.,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICKAXE_CATEGORY_NAME,Pickaxe,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICKAXE_CATEGORY_DESC,All the pickaxes to mine with.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINING_CATEGORY_NAME,Mining,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINING_CATEGORY_DESC,Mining related loot.,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAL_CATEGORY_NAME,Industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAL_CATEGORY_DESC,Industrial items and machines.,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROD_CATEGORY_NAME,Rod,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROD_CATEGORY_DESC,To fish with.,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEAPON_CATEGORY_NAME,Weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEAPON_CATEGORY_DESC,To hit with.,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMOR_CATEGORY_NAME,Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMOR_CATEGORY_DESC,Armor provides defense to mitigate damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESSORY_CATEGORY_NAME,Accessory,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESSORY_CATEGORY_DESC,Make sure to equip useful accessories.,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMMO_CATEGORY_NAME,Ammo,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMMO_CATEGORY_DESC,Ranged weapons consume ammo.,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARROW_CATEGORY_NAME,Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARROW_CATEGORY_DESC,Bows consume arrows.,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKET_CATEGORY_NAME,Rocket,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKET_CATEGORY_DESC,Rocket launchers consume rockets.,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMET_FRAGMENT_CATEGORY_NAME,Comet Fragment,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMET_FRAGMENT_CATEGORY_DESC,Star launchers consume comet fragments.,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPROVISED_EXPLOSIVE_CATEGORY_NAME,Improvised Explosive,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPROVISED_EXPLOSIVE_CATEGORY_DESC,You can throw improvised explosives.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAIT_CATEGORY_NAME,Bait,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAIT_CATEGORY_DESC,The better bait the better fish you can get.,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTILITY_CATEGORY_NAME,Utility,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTILITY_CATEGORY_DESC,Various utility items.,,,,,,,,,,,,,,,,,,,,,,,,,,,
