key,en_US,fr_FR,es_MX,de_DE,it_IT,pt_BR,pt_PT,ru_RU,el_GR,tr_TR,da_DK,no_NB,sv_SE,nl_NL,pl_PL,fi_FI,ja_JP,zh_CN,zh_TW,ko_KR,cs_CZ,hu_HU,ro_RO,th_TH,bg_BG,he_IL,ar,bs_BS
NONE_EFFECT_NAME,None,,,,,,,,,,,,,,,,,,,,,,,,,,,
NONE_EFFECT_DESC,This does not have an effect.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC_EFFECT_NAME,Magic,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC_EFFECT_DESC,"Requires mana crystal, ignores enemy defense, and consumes mana crystal.",,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEN_OUT_EFFECT_NAME,Even Out,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEN_OUT_EFFECT_DESC,Reduces defense by half and increases attack by reduced amount.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEED_BOOST_EFFECT_NAME,Speed Boost,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEED_BOOST_EFFECT_DESC,Increases damage by half your speed.,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFENSE_BASHER_EFFECT_NAME,Defense Basher,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFENSE_BASHER_EFFECT_DESC,Increases damage by half of enemy defense.,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAGILE_EFFECT_NAME,Fragile,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAGILE_EFFECT_DESC,Breaks when attacking something with at least 300 defense.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURPRISE_EFFECT_NAME,Surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURPRISE_EFFECT_DESC,Triples your damage if you attack without having been hit.,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRITICAL_CHANCE_EFFECT_NAME,Critical Chance,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRITICAL_CHANCE_EFFECT_DESC,"+20% chance to ignore defense, default is 0.",,,,,,,,,,,,,,,,,,,,,,,,,,,
ELASTIC_POTENTIAL_EFFECT_NAME,Elastic Potential,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELASTIC_POTENTIAL_EFFECT_DESC,Recoils with double the damage received.,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIGHT_WEIGHT_EFFECT_NAME,Light Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIGHT_WEIGHT_EFFECT_DESC,+20 speed.,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOUBLE_HIT_EFFECT_NAME,Double Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOUBLE_HIT_EFFECT_DESC,Hits twice in a row.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULTI_HIT_EFFECT_NAME,Multi Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULTI_HIT_EFFECT_DESC,Hits randomly between 1-5 times in a row.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOOTHING_EFFECT_NAME,Soothing,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOOTHING_EFFECT_DESC,Opponent deals half damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOW_EFFECT_NAME,Bow,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOW_EFFECT_DESC,Uses arrows.,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKET_LAUNCHER_EFFECT_NAME,Rocket Launcher,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKET_LAUNCHER_EFFECT_DESC,Uses rockets.,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR_LAUNCHER_EFFECT_NAME,Star Launcher,,,,,,,,,,,,,,,,,,,,,,,,,,,
