key,en_US,fr_FR,es_MX,de_DE,it_IT,pt_BR,pt_PT,ru_RU,el_GR,tr_TR,da_DK,no_NB,sv_SE,nl_NL,pl_PL,fi_FI,ja_JP,zh_CN,zh_TW,ko_KR,cs_CZ,hu_HU,ro_RO,th_TH,bg_BG,he_IL,ar,bs_BS
NONE,None,,,,,,,,,,,,,,,,,,,,,,,,,,,
NONE,This does not have an item.,,,,,,,,,,,,,,,,,,,,,,,,,,,
COIN,Coin,,,,,,,,,,,,,,,,,,,,,,,,,,,
COIN,This gives you money instead of an item.,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWING_EYE,Glowing Eye,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWING_EYE,"I wouldn't hang on to that for too long, its former owner might come after you. Let's just say you wouldn't want that.",,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAGON_HEART,Dragon Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAGON_HEART,A truly priceless trophy item.,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN,Crown,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN,A truly majestic trophy item.,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAGON_EGG,Dragon Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAGON_EGG,A one of a kind trophy.,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMAND_BLOCK,Command Block,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMAND_BLOCK,How did you get this???,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD,"Used in crafting, can be obtained from a forest.",,,,,,,,,,,,,,,,,,,,,,,,,,,
SMOKE_WOOD,Smoke Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMOKE_WOOD,Wood from a fireproof tree found in pyroclast. Or maybe it just already burnt down who knows.,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORCH,Torch,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORCH,Pretty important to uh see.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEASHELL,Seashell,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEASHELL,"Used to be used as currency, now they are just pretty thing for decoration, or maybe you could still use it as currency nothing stopping you.",,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRT,Dirt,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRT,Dirt cheap!,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND,Sand,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND,"Used in crafting, can be obtained from a beach or desert... obviously.",,,,,,,,,,,,,,,,,,,,,,,,,,,
ASH,Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASH,Used in uh nothing. Ash!,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLASS,Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLASS,"Smelted from sand, you can see through it!",,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSIDIAN,Obsidian,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSIDIAN,A hard stone formed when lava cools.,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER_BOTTLE,Water Bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER_BOTTLE,Well that's not a fish! Sea glass sure looks different to regular glass. Water bottles are commonly fished up in most places.,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOUD,Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOUD,A piece of cloud that fell from the sky.,,,,,,,,,,,,,,,,,,,,,,,,,,,
THORN,Thorn,,,,,,,,,,,,,,,,,,,,,,,,,,,
THORN,Found uncommonly by fishing in þe jungle. Pointy!,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINE,Vine,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINE,An uncommon drop from jungle enemies. Twisty!,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSTERIOUS_SHARD,Mysterious Shard,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSTERIOUS_SHARD,"A weird material, perhaps it could be useful in constructing a dangerous machine.",,,,,,,,,,,,,,,,,,,,,,,,,,,
