key,en_US,fr_FR,es_MX,de_DE,it_IT,pt_BR,pt_PT,ru_RU,el_GR,tr_TR,da_DK,no_NB,sv_SE,nl_NL,pl_PL,fi_FI,ja_JP,zh_CN,zh_TW,ko_KR,cs_CZ,hu_HU,ro_RO,th_TH,bg_BG,he_IL,ar,bs_BS
NONE_LOCATION_NAME,None,,,,,,,,,,,,,,,,,,,,,,,,,,,
NONE_LOCATION_DESC,This does not have a location.,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCENDIUM_KEEP_LOCATION_NAME,Incendium Keep,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCENDIUM_KEEP_LOCATION_DESC,"Ruled by the vicious Karkothian Brutes, their armies are universally feared.",,,,,,,,,,,,,,,,,,,,,,,,,,,
BEASTS_DEN_LOCATION_NAME,Beast's Den,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEASTS_DEN_LOCATION_DESC,Beasts so fearful not even the Karkothian Tribes venture close.,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSS_ROADS_LOCATION_NAME,Cross Roads,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSS_ROADS_LOCATION_DESC,"A bit of plains in the otherwise dense swamp, a relief to travellers, captured by Dungeonsia after Blue fell.",,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNGEON_CITY_LOCATION_NAME,Dungeon City,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNGEON_CITY_LOCATION_DESC,"The origin of the monsters, without their capital they are nothing. Ruled by the Skeleton King, this city of Skeletons fiercely resist invaders.",,,,,,,,,,,,,,,,,,,,,,,,,,,
FIELDS_LOCATION_NAME,Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIELDS_LOCATION_DESC,Just outside the swamplands this is the last place our great founder took before he fell.,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISHING_VILLE_LOCATION_NAME,Fishing Ville,,,,,,,,,,,,,,,,,,,,,,,,,,,
