key,en_US,fr_FR,es_MX,de_DE,it_IT,pt_BR,pt_PT,ru_RU,el_GR,tr_TR,da_DK,no_NB,sv_SE,nl_NL,pl_PL,fi_FI,ja_JP,zh_CN,zh_TW,ko_KR,cs_CZ,hu_HU,ro_RO,th_TH,bg_BG,he_IL,ar,bs_BS
NONE_MACHINE_NAME,None,,,,,,,,,,,,,,,,,,,,,,,,,,,
NONE_MACHINE_DESC,This does not have a machine.,,,,,,,,,,,,,,,,,,,,,,,,,,,
COAL_BURNER_MACHINE_NAME,Coal Burner,,,,,,,,,,,,,,,,,,,,,,,,,,,
COAL_BURNER_MACHINE_DESC,All this coal Santa gave me will come in handy. Good source of power wherever there's coal.,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIL_BURNER_MACHINE_NAME,Oil Burner,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIL_BURNER_MACHINE_DESC,Surely this will have no unintended consequences. Good source of power wherever there's oil.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLAR_PANEL_MACHINE_NAME,Solar Panel,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLAR_PANEL_MACHINE_DESC,Powered from the SUN! Good source of power wherever there's harsh sunlight.,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINDMILL_MACHINE_NAME,Windmill,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINDMILL_MACHINE_DESC,Fossil fuels are obsolete! Good source of power wherever there's strong winds.,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOTHERMAL_POWER_PLANT_MACHINE_NAME,Geothermal Power Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOTHERMAL_POWER_PLANT_MACHINE_DESC,"Powered from the EARTH! Very reliable as it works anywhere, but is outclassed by the others.",,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY_STATION_MACHINE_NAME,Battery Station,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY_STATION_MACHINE_DESC,"If there's no good source of power, why not bring it in from somewhere else?",,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY_CHARGER_MACHINE_NAME,Battery Charger,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY_CHARGER_MACHINE_DESC,"If you've got extra power, why not send it somewhere else?",,,,,,,,,,,,,,,,,,,,,,,,,,,
TREE_CHOPPER_9000_MACHINE_NAME,Tree Chopper 9000,,,,,,,,,,,,,,,,,,,,,,,,,,,
TREE_CHOPPER_9000_MACHINE_DESC,Chop down tree yes vroom.,,,,,,,,,,,,,,,,,,,,,,,,,,,
TREE_CHOPPER_9001_MACHINE_NAME,Tree Chopper 9001,,,,,,,,,,,,,,,,,,,,,,,,,,,
TREE_CHOPPER_9001_MACHINE_DESC,Chop down fire tree yes vroom.,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATOR_MACHINE_NAME,Excavator,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATOR_MACHINE_DESC,Straight from Bob the Builder.,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMATIC_PLASTIC_SHOVEL_MACHINE_NAME,Automatic Plastic Shovel,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMATIC_PLASTIC_SHOVEL_MACHINE_DESC,"It's like a plastic shovel, but automatic.",,,,,,,,,,,,,,,,,,,,,,,,,,,
JERRYS_TRUCK_MACHINE_NAME,Jerry's Truck,,,,,,,,,,,,,,,,,,,,,,,,,,,
JERRYS_TRUCK_MACHINE_DESC,"Idk how I'm gonna move all this ice, I'll just call Jerry.",,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACKSTONE_QUARRY_MACHINE_NAME,Blackstone Quarry,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACKSTONE_QUARRY_MACHINE_DESC,Nothing preserves the landscape better than a giant hole in the ground. Though pyroclast is ugly anyway.,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE_QUARRY_MACHINE_NAME,Stone Quarry,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE_QUARRY_MACHINE_DESC,Nothing preserves the landscape better than a giant hole in the ground.,,,,,,,,,,,,,,,,,,,,,,,,,,,
EARLY_BIRD_MACHINE_NAME,Early Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,
EARLY_BIRD_MACHINE_DESC,Early bird gets the worm!,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOTIC_EARLY_BIRD_MACHINE_NAME,Robotic Early Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOTIC_EARLY_BIRD_MACHINE_DESC,I guess a robotic early bird gets there first?,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICKEN_COOP_MACHINE_NAME,Chicken Coop,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICKEN_COOP_MACHINE_DESC,Just a bunch of chickens in a chicken coop.,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMATIC_CACTUS_FARM_MACHINE_NAME,Automatic Cactus Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMATIC_CACTUS_FARM_MACHINE_DESC,Cactus string sand.,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMATIC_SUGARCANE_FARM_MACHINE_NAME,Automatic Sugarcane Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMATIC_SUGARCANE_FARM_MACHINE_DESC,Sugarcane pillar sugarcane brick wall.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANGO_TREE_SHAKER_MACHINE_NAME,Mango Tree Shaker,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANGO_TREE_SHAKER_MACHINE_DESC,"Mango on tree, shake tree, mango in hand.",,,,,,,,,,,,,,,,,,,,,,,,,,,
COCONUT_TREE_SHAKER_MACHINE_NAME,Coconut Tree Shaker,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCONUT_TREE_SHAKER_MACHINE_DESC,"Coconut on tree, shake tree, coconut in hand.",,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMATIC_WATERMELON_FARM_MACHINE_NAME,Automatic Watermelon Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMATIC_WATERMELON_FARM_MACHINE_DESC,"Unlike their pumpkin counterpart, melon farms are automatic!",,,,,,,,,,,,,,,,,,,,,,,,,,,
GIANT_PUMPKIN_FARM_MACHINE_NAME,Giant Pumpkin Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIANT_PUMPKIN_FARM_MACHINE_DESC,"Unlike their melon counterpart, pumpkin farms are giant!",,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIEN_CROP_CIRCLE_MACHINE_NAME,Alien Crop Circle,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIEN_CROP_CIRCLE_MACHINE_DESC,Offer a sacrifice to the aliens and watch as a giant circle of wheat gets harvested.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACONATOR_MACHINE_NAME,Baconator,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACONATOR_MACHINE_DESC,The baconator is Wendy's key to success.,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOLY_WHEEL_OF_DOOM_MACHINE_NAME,Wooly Wheel of Doom,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOLY_WHEEL_OF_DOOM_MACHINE_DESC,"It's a giant wooden wheel, with sheep on it, and they die.",,,,,,,,,,,,,,,,,,,,,,,,,,,
COW_CHAMBER_MACHINE_NAME,Cow Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,
COW_CHAMBER_MACHINE_DESC,You don't wanna know what happens in the cow chamber.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHEEP_PYRE_MACHINE_NAME,Sheep Pyre,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHEEP_PYRE_MACHINE_DESC,Just burn the sheep.,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE_DELUXE_FISH_SLAYER_COMPOSITE_PRO_MACHINE_NAME,The Deluxe Fish Slayer Composite Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE_DELUXE_FISH_SLAYER_COMPOSITE_PRO_MACHINE_DESC,The best way to fish.,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUBBER_TAPPER_MACHINE_NAME,Rubber Tapper,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUBBER_TAPPER_MACHINE_DESC,Just put this in a tree and boom.,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOLCANO_VANQUISHER_MACHINE_NAME,Volcano Vanquisher,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOLCANO_VANQUISHER_MACHINE_DESC,Good source of magma.,,,,,,,,,,,,,,,,,,,,,,,,,,,
VACUUM_CLEANER_MACHINE_NAME,Vacuum Cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,
VACUUM_CLEANER_MACHINE_DESC,How would you gather clouds? I guess you could suck them with a vacuum cleaner?,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOOM_MACHINE_NAME,Loom,,,,,,,,,,,,,,,,,,,,,,,,,,,
