key,en_US,fr_FR,es_MX,de_DE,it_IT,pt_BR,pt_PT,ru_RU,el_GR,tr_TR,da_DK,no_NB,sv_SE,nl_NL,pl_PL,fi_FI,ja_JP,zh_CN,zh_TW,ko_KR,cs_CZ,hu_HU,ro_RO,th_TH,bg_BG,he_IL,ar,bs_BS
NONE_MOB_NAME,None,,,,,,,,,,,,,,,,,,,,,,,,,,,
NONE_MOB_DESC,This does not have a mob.,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYRONIX_MOB_NAME,Dyronix,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYRONIX_MOB_DESC,"The most terrifying creature in the world, this fierce boss brings terror into anyone in its path.",,,,,,,,,,,,,,,,,,,,,,,,,,,
PITCHSPAWN_MOB_NAME,Pitchspawn,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITCHSPAWN_MOB_DESC,"The guardian of the underground is no joke, prepare to be obliterated.",,,,,,,,,,,,,,,,,,,,,,,,,,,
BOARFATHER_MOB_NAME,Boarfather,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOARFATHER_MOB_DESC,It's said in order to save his kids the Boarfather climbed its way out from hell. It is so feared that no civilisation can come close to it.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKELETON_KING_MOB_NAME,Skeleton King,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKELETON_KING_MOB_DESC,"In control of legions of skeletons, the Skeleton King is a force to be reckoned with. Its mighty sword will send a shiver down your spine.",,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEUS_MOB_NAME,Zeus,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEUS_MOB_DESC,The God of the Sky and Thunder; King of the Gods on Mount Olympus; Zeus.,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUMPKIN_HORSEMAN_MOB_NAME,Pumpkin Horseman,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUMPKIN_HORSEMAN_MOB_DESC,"An unsightly foe for those who have to get in its path, they fiercely withold the ability to grow pumpkins.",,,,,,,,,,,,,,,,,,,,,,,,,,,
ELITE_SENTRY_MOB_NAME,Elite Sentry,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELITE_SENTRY_MOB_DESC,"An advanced machine, with powerful lasers that even work underwater; the guardian of the water won't take kindly to you treading on its territory.",,,,,,,,,,,,,,,,,,,,,,,,,,,
GRYMFANG_MOB_NAME,Grymfang,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRYMFANG_MOB_DESC,"A possessed beast of unknown origins, believed to be associated with the mysterious activities in the Forests.",,,,,,,,,,,,,,,,,,,,,,,,,,,
GIANT_MOB_NAME,Giant,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIANT_MOB_DESC,"A beast created accidentally by a witch experimenting on a zombie, currently it roams aimlessly, but some fear what will happen if it gets out of control. The giant is so large it can be seen from outerspace.",,,,,,,,,,,,,,,,,,,,,,,,,,,
HUGE_SLIME_MOB_NAME,Huge Slime,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUGE_SLIME_MOB_DESC,"Many slimes have fused to form this huge slime, it loves to jump onto buildings smashing them, however luckily it prefers staying underground.",,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLOWED_CREATURE_MOB_NAME,Hallowed Creature,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLOWED_CREATURE_MOB_DESC,A holy creature that lives in the paradise of the clouds.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKY_SORCERER_MOB_NAME,Sky Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKY_SORCERER_MOB_DESC,Zeus's minions help guard the skies against any threats.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLAR_FLARE_MOB_NAME,Solar Flare,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLAR_FLARE_MOB_DESC,A sentient solar flare that travelled from the Sun all the way to Earth just to bring destruction.,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAGON_MOB_NAME,Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAGON_MOB_DESC,An ancient monster that guards the skies from intruders.,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAUTICAL_SENTRY_MOB_NAME,Nautical Sentry,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAUTICAL_SENTRY_MOB_DESC,"After the original design of the Elite Sentry, a cheaper solution was needed, thus the Nautical Sentry.",,,,,,,,,,,,,,,,,,,,,,,,,,,
BROKEN_SENTRY_MOB_NAME,Broken Sentry,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROKEN_SENTRY_MOB_DESC,"A heavily damaged sentry, something truly massive must have attacked it. It's very glitchy in its current state.",,,,,,,,,,,,,,,,,,,,,,,,,,,
IVEBORN_AUREA_MOB_NAME,Iveborn Aurea,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVEBORN_AUREA_MOB_DESC,"An invasive species of plants believed to have originated in the jungle, aurea have evolved to be able to fly.",,,,,,,,,,,,,,,,,,,,,,,,,,,
IVEBORN_ADUSTUS_MOB_NAME,Iveborn Adustus,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVEBORN_ADUSTUS_MOB_DESC,"An invasive species of plants believed to have originated in the jungle, adustus have evolved to be able to take on fierce pyroclast mobs.",,,,,,,,,,,,,,,,,,,,,,,,,,,
IVEBORN_CAVERNA_MOB_NAME,Iveborn Caverna,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVEBORN_CAVERNA_MOB_DESC,"An invasive species of plants believed to have originated in the jungle, caverna have evolved the defense needed to withstand cave-ins.",,,,,,,,,,,,,,,,,,,,,,,,,,,
IVEBORN_GLACIO_MOB_NAME,Iveborn Glacio,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVEBORN_GLACIO_MOB_DESC,"An invasive species of plants believed to have originated in the jungle, glacio have evolved the bulk needed to survive harsh winters.",,,,,,,,,,,,,,,,,,,,,,,,,,,
