key,en_US,fr_FR,es_MX,de_DE,it_IT,pt_BR,pt_PT,ru_RU,el_GR,tr_TR,da_DK,no_NB,sv_SE,nl_NL,pl_PL,fi_FI,ja_JP,zh_CN,zh_TW,ko_KR,cs_CZ,hu_HU,ro_RO,th_TH,bg_BG,he_IL,ar,bs_BS
NONE_TILE_NAME,None,,,,,,,,,,,,,,,,,,,,,,,,,,,
NONE_TILE_DESC,This does not have a tile.,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYRO_GRASS_TILE_NAME,Pyro Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYRO_GRASS_TILE_DESC,Grass adapted to this hot region.,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYRO_SOIL_TILE_NAME,Pyro Soil,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYRO_SOIL_TILE_DESC,Soil adapted to this hot region.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACKSTONE_TILE_NAME,Blackstone,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACKSTONE_TILE_DESC,Stones burnt up from this hot region.,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRE_TILE_NAME,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRE_TILE_DESC,Yeowch one might say.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMOKE_BUSH_TILE_NAME,Smoke Bush,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMOKE_BUSH_TILE_DESC,Burning bush? Burnt bush.,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAVA_TILE_NAME,Lava,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAVA_TILE_DESC,Tasty soup.,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELLSTONE_TILE_NAME,Hellstone,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELLSTONE_TILE_DESC,Is this actually from hell? Probably not.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOD_SAGE_TILE_NAME,Blood Sage,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOD_SAGE_TILE_DESC,Not actually made of blood believe it or not.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMOKE_TREE_TILE_NAME,Smoke Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMOKE_TREE_TILE_DESC,This wood can withstand fire.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURFACE_GOLD_ORE_TILE_NAME,Surface Gold Ore,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURFACE_GOLD_ORE_TILE_DESC,Who woulda thought you would find gold here?,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYRO_TALL_GRASS_TILE_NAME,Pyro Tall Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYRO_TALL_GRASS_TILE_DESC,Someone needs to mow their lawn.,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASH_TILE_NAME,Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASH_TILE_DESC,Shhh,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMOOTH_ASH_TILE_NAME,Smooth Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMOOTH_ASH_TILE_DESC,Probably feels nice to walk on.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONES_TILE_NAME,Bones,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONES_TILE_DESC,I guess this means someone died here.,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSSIL_TILE_NAME,Fossil,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSSIL_TILE_DESC,What kind of animal was this?,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURNT_TALL_GRASS_TILE_NAME,Burnt Tall Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURNT_TALL_GRASS_TILE_DESC,This is why you don't mow your lawn with a flamethrower.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASALT_TILE_NAME,Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASALT_TILE_DESC,My favorite igneous rock.,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRASS_TILE_NAME,Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRASS_TILE_DESC,The grass is greener on the other side.,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRT_TILE_NAME,Dirt,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRT_TILE_DESC,This feels... dirty.,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICE_TILE_NAME,Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICE_TILE_DESC,Hockey anyone?,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALL_GRASS_TILE_NAME,Tall Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALL_GRASS_TILE_DESC,Someone needs to mow their lawn.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH_TILE_NAME,Bush,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH_TILE_DESC,Could do with a hedge for my house. Oh actually I can't afford a house. Or a hedge.,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAK_TREE_TILE_NAME,Oak Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAK_TREE_TILE_DESC,Good for wood veneer.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOW_GLOBE_TILE_NAME,Snow Globe,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOW_GLOBE_TILE_DESC,It's winter year round in there.,,,,,,,,,,,,,,,,,,,,,,,,,,,
